,date,cash_data,vol,dif,ret1,ret2,ret3
10/20/2021 0:00,10/20/2021 0:00,1.16325,140,0,0,0,0
10/20/2021 0:30,10/20/2021 0:30,1.16286,140,-0.00039,0,0,0
10/20/2021 1:00,10/20/2021 1:00,1.16296,990,1E-04,0.256442225,0,0
10/20/2021 1:30,10/20/2021 1:30,1.16355,990,0.00059,-5.898250292,-1.51256043,-1.769002655
10/20/2021 2:00,10/20/2021 2:00,1.16348,798,-7E-05,0.118617553,-0.699636017,5.198614275
10/20/2021 2:30,10/20/2021 2:30,1.163,798,-0.00048,-6.85876404,-0.813569807,-0.93218736
10/20/2021 3:00,10/20/2021 3:00,1.1627,2103,-0.0003,-0.625209609,4.288165183,11.14692922
10/20/2021 3:30,10/20/2021 3:30,1.16347,2103,0.00077,2.566148154,-1.604380484,-0.979170875
10/20/2021 4:00,10/20/2021 4:00,1.1632,2548,-0.00027,0.350573985,0.899624785,-1.666523369
10/20/2021 4:30,10/20/2021 4:30,1.1647,2548,0.0015,5.552620892,1.946604434,1.596030449
10/20/2021 5:00,10/20/2021 5:00,1.16426,1495,-0.00044,0.293199789,1.628027273,-3.924593619
10/20/2021 5:30,10/20/2021 5:30,1.16346,1495,-0.0008,-1.819150432,-0.533374523,-0.826574311
10/20/2021 6:00,10/20/2021 6:00,1.16366,1077,0.0002,0.250064448,-0.454904849,1.364245583
10/20/2021 6:30,10/20/2021 6:30,1.1645,1077,0.00084,-4.198124012,-1.049801564,-1.299866012
10/20/2021 7:00,10/20/2021 7:00,1.16427,1463,-0.00023,0.273737791,-1.149185193,3.048938819
10/20/2021 7:30,10/20/2021 7:30,1.16507,1463,0.0008,3.477409849,0.95189849,0.678160699
10/20/2021 8:00,10/20/2021 8:00,1.16517,1944,1E-04,-0.124951717,-0.434508331,-3.91191818
10/20/2021 8:30,10/20/2021 8:30,1.16438,1944,-0.00079,7.902340235,-0.98741098,-0.862459263
10/20/2021 9:00,10/20/2021 9:00,1.16458,3564,0.0002,0.253228683,2.001099207,-5.901241028
10/20/2021 9:30,10/20/2021 9:30,1.16355,3564,-0.00103,5.151836346,1.304592731,1.051364048
10/20/2021 10:00,10/20/2021 10:00,1.16398,4746,0.00043,0.417583324,2.151320947,-3.000515399
10/20/2021 10:30,10/20/2021 10:30,1.16162,4746,-0.00236,5.49292868,2.293755418,1.876172094
10/20/2021 11:00,10/20/2021 11:00,1.16209,3400,0.00047,0.199314458,1.094820104,-4.398108575
10/20/2021 11:30,10/20/2021 11:30,1.16296,3400,0.00087,-1.849997064,-0.368731163,-0.568045621
10/20/2021 12:00,10/20/2021 12:00,1.16274,2609,-0.00022,0.252802878,-0.467684581,1.382312483
10/20/2021 12:30,10/20/2021 12:30,1.16211,2609,-0.00063,-2.864683414,-0.72420021,-0.977003088
10/20/2021 13:00,10/20/2021 13:00,1.16205,3061,-6E-05,-0.095266367,0.272907982,3.137591396
10/20/2021 13:30,10/20/2021 13:30,1.16344,3061,0.00139,23.15341988,-2.205742204,-2.110475837
10/20/2021 14:00,10/20/2021 14:00,1.16358,3043,0.00014,-0.10065319,-2.330465576,-25.48388546
10/20/2021 14:30,10/20/2021 14:30,1.16215,3043,-0.00143,10.21995249,-1.028670823,-0.928017632
10/20/2021 15:00,10/20/2021 15:00,1.16211,5342,-4E-05,-0.027989716,-0.286053564,-10.50600606
10/20/2021 15:30,10/20/2021 15:30,1.16424,5342,0.00213,53.2021749,-1.489113746,-1.46112403
10/20/2021 16:00,10/20/2021 16:00,1.16354,5606,-0.0007,0.328436527,17.47353754,-35.72863735
10/20/2021 16:30,10/20/2021 16:30,1.16476,5606,0.00122,1.742468002,0.572290139,0.243853612
10/20/2021 17:00,10/20/2021 17:00,1.16421,4979,-0.00055,0.450689947,0.785312812,-0.95715519
10/20/2021 17:30,10/20/2021 17:30,1.16513,4979,0.00092,1.672461627,0.753761642,0.303071695
10/20/2021 18:00,10/20/2021 18:00,1.16485,3489,-0.00028,0.304264213,0.508870221,-1.163591406
10/20/2021 18:30,10/20/2021 18:30,1.16406,3489,-0.00079,-2.82272495,-0.858854186,-1.1631184
10/20/2021 19:00,10/20/2021 19:00,1.16413,2586,7E-05,0.088634994,-0.250192208,2.572532742
10/20/2021 19:30,10/20/2021 19:30,1.16573,2586,0.0016,-22.84076287,-2.024490874,-2.113125868
10/20/2021 20:00,10/20/2021 20:00,1.16579,3195,6E-05,-0.037473295,0.85591864,23.69668151
10/20/2021 20:30,10/20/2021 20:30,1.16495,3195,-0.00084,14.00468581,-0.52480172,-0.487328425
10/20/2021 21:00,10/20/2021 21:00,1.16503,1614,8E-05,0.095269156,1.3342146,-12.67047121
10/20/2021 21:30,10/20/2021 21:30,1.16573,1614,0.0007,-8.74707203,-0.833326172,-0.928595328
10/20/2021 22:00,10/20/2021 22:00,1.16564,1700,-9E-05,0.128537784,-1.124329257,7.622742773
10/20/2021 22:30,10/20/2021 22:30,1.16488,1700,-0.00076,-8.447524644,-1.0858261,-1.214363884
10/20/2021 23:00,10/20/2021 23:00,1.16519,846,0.00031,0.4079735,-3.446366198,5.001158445
10/20/2021 23:30,10/20/2021 23:30,1.16471,846,-0.00048,1.548500087,0.631747001,0.2237735
10/21/2021 0:00,10/21/2021 0:00,1.16537,162,0.00066,1.374893798,2.129023165,0.580523078
10/21/2021 0:30,10/21/2021 0:30,1.16462,162,-0.00075,1.136407539,1.562439678,0.18754588
10/21/2021 1:00,10/21/2021 1:00,1.16472,532,1E-04,0.133370535,0.151563282,-0.984844257
10/21/2021 1:30,10/21/2021 1:30,1.16526,532,0.00054,-5.398516819,-0.720003078,-0.853373614
10/21/2021 2:00,10/21/2021 2:00,1.16508,359,-0.00018,0.333281833,-1.799227583,3.599289236
10/21/2021 2:30,10/21/2021 2:30,1.16559,359,0.00051,2.832932201,0.944164838,0.610883004
10/21/2021 3:00,10/21/2021 3:00,1.16504,1468,-0.00055,1.078449884,3.055175404,0.222243203
10/21/2021 3:30,10/21/2021 3:30,1.16575,1468,0.00071,1.290820491,1.392085209,0.313635325
10/21/2021 4:00,10/21/2021 4:00,1.16541,2088,-0.00034,0.478797222,0.618041265,-0.672779226
10/21/2021 4:30,10/21/2021 4:30,1.16625,2088,0.00084,2.470058533,1.182657163,0.703859941
10/21/2021 5:00,10/21/2021 5:00,1.16599,1402,-0.00026,0.309446823,0.764351765,-1.705706768
10/21/2021 5:30,10/21/2021 5:30,1.16655,1402,0.00056,2.153569169,0.666415137,0.356968314
10/21/2021 6:00,10/21/2021 6:00,1.16667,907,0.00012,-0.214223258,-0.461344604,-2.614913774
10/21/2021 6:30,10/21/2021 6:30,1.16617,907,-0.0005,4.167345442,-0.892742319,-0.678519061
10/21/2021 7:00,10/21/2021 7:00,1.16644,2572,0.00027,0.540053239,2.250588405,-1.916757037
