,date,cash_data,vol,dif,ret1,ret2,ret3
10/11/2021 6:00,10/11/2021 6:00,1759.91,2741,0,0,0,0
10/11/2021 6:30,10/11/2021 6:30,1754.99,2741,-4.92,0,0,0
10/11/2021 7:00,10/11/2021 7:00,1754.8,1652,-0.19,-0.038674086,0,0
10/11/2021 7:30,10/11/2021 7:30,1756.85,1652,2.05,10.78376009,-0.417052063,-0.378377977
10/11/2021 8:00,10/11/2021 8:00,1757.68,2884,0.83,-0.404546231,-4.362529498,-15.14628958
10/11/2021 8:30,10/11/2021 8:30,1754.59,2884,-3.09,3.725287984,-1.507051213,-1.102504982
10/11/2021 9:00,10/11/2021 9:00,1757.19,4487,2.6,0.841541289,3.134983653,-0.590304332
10/11/2021 9:30,10/11/2021 9:30,1753.74,4487,-3.45,1.327244511,1.116931057,0.275389768
10/11/2021 10:00,10/11/2021 10:00,1753.36,2326,-0.38,-0.110265178,-0.146348853,-1.473593364
10/11/2021 10:30,10/11/2021 10:30,1757.21,2326,3.85,10.12156847,-1.116056554,-1.005791376
10/11/2021 11:00,10/11/2021 11:00,1757.18,1755,-0.03,0.007783735,0.078783605,-10.04278487
10/11/2021 11:30,10/11/2021 11:30,1752.8,1755,-4.38,-146.1835128,-1.137853704,-1.145637439
10/11/2021 12:00,10/11/2021 12:00,1752.21,1854,-0.59,-0.134894133,19.71929818,165.902811
10/11/2021 12:30,10/11/2021 12:30,1754.8,1854,2.59,4.387327804,-0.591824779,-0.456930646
10/11/2021 13:00,10/11/2021 13:00,1756.32,1559,1.52,-0.586185543,-2.571788133,-6.959115937
10/11/2021 13:30,10/11/2021 13:30,1753.54,1559,-2.78,1.829604208,-1.072487537,-0.486301994
10/11/2021 14:00,10/11/2021 14:00,1752.96,1546,-0.58,-0.208832968,-0.382081678,-2.211685886
10/11/2021 14:30,10/11/2021 14:30,1755.51,1546,2.55,4.394083801,-0.917629563,-0.708796595
10/11/2021 15:00,10/11/2021 15:00,1757.95,4457,2.44,-0.955503744,-4.198563523,-8.592647324
10/11/2021 15:30,10/11/2021 15:30,1750.12,4457,-7.83,3.213951731,-3.070942911,-2.115439167
10/11/2021 16:00,10/11/2021 16:00,1750.04,5230,-0.08,-0.010240186,-0.032911464,-3.246863195
10/11/2021 16:30,10/11/2021 16:30,1759.13,5230,9.09,113.3335146,-1.160556302,-1.150316115
10/11/2021 17:00,10/11/2021 17:00,1760.1,4079,0.97,-0.106405395,-12.05929737,-125.392812
10/11/2021 17:30,10/11/2021 17:30,1755.76,4079,-4.34,4.478517573,-0.47653843,-0.370133036
10/11/2021 18:00,10/11/2021 18:00,1759.08,2430,3.32,0.765198792,3.426956238,-1.051561335
10/11/2021 18:30,10/11/2021 18:30,1757.17,2430,-1.91,0.575070397,0.440043173,-0.325155619
10/11/2021 19:00,10/11/2021 19:00,1757.65,2203,0.48,0.251411122,0.144579094,-0.430491303
10/11/2021 19:30,10/11/2021 19:30,1755.75,2203,-1.9,3.959933522,0.99557133,0.744160208
10/11/2021 20:00,10/11/2021 20:00,1756.67,2261,0.92,0.48434559,1.917976337,-2.041957185
10/11/2021 20:30,10/11/2021 20:30,1753.84,2261,-2.83,3.077761192,1.490700059,1.00635447
10/11/2021 21:00,10/11/2021 21:00,1753.85,1577,0.01,0.003536409,0.010884222,-3.06687697
