,date,cash_data,vol
0,1/1/2020 4:00,7230,5714.245
1,1/1/2020 6:00,7193.52,5714.245
2,1/1/2020 8:00,7174,10014.388
3,1/1/2020 10:00,7234.57,10014.388
4,1/1/2020 12:00,7191.79,10944.261
5,1/1/2020 14:00,7260.43,10944.261
6,1/1/2020 16:00,7210.81,7624.896
7,1/1/2020 18:00,7248,7624.896
8,1/1/2020 20:00,7242,10166.749
9,1/1/2020 22:00,7174,10166.749
10,1/2/2020 0:00,7209.59,13264.185
11,1/2/2020 2:00,7121,13264.185
12,1/2/2020 4:00,7159.3,15368.726
13,1/2/2020 6:00,7101,15368.726
14,1/2/2020 8:00,7106.75,15294.32
15,1/2/2020 10:00,7175,15294.32
16,1/2/2020 12:00,7160,16541.952
17,1/2/2020 14:00,7103,16541.952
18,1/2/2020 16:00,7143.29,43754.199
19,1/2/2020 18:00,6922,43754.199
20,1/2/2020 20:00,6938.36,10448.841
21,1/2/2020 22:00,6982.83,10448.841
22,1/3/2020 0:00,6962.8,23369.287
23,1/3/2020 2:00,6863.44,23369.287
24,1/3/2020 4:00,6945.84,52503.143
25,1/3/2020 6:00,7300,52503.143
26,1/3/2020 8:00,7198,43943.55
27,1/3/2020 10:00,7368.33,43943.55
28,1/3/2020 12:00,7379,29375.119
29,1/3/2020 14:00,7229,29375.119
30,1/3/2020 16:00,7407.28,36729.467
31,1/3/2020 18:00,7276.35,36729.467
32,1/3/2020 20:00,7359,21691.955
33,1/3/2020 22:00,7255.84,21691.955
34,1/4/2020 0:00,7347.02,10881.358
35,1/4/2020 2:00,7279,10881.358
36,1/4/2020 4:00,7310,13364.842
37,1/4/2020 6:00,7368.47,13364.842
38,1/4/2020 8:00,7366,14153.562
39,1/4/2020 10:00,7295.2,14153.562
40,1/4/2020 12:00,7333.54,12769.33
41,1/4/2020 14:00,7286.16,12769.33
42,1/4/2020 16:00,7400,30390.804
43,1/4/2020 18:00,7269.21,30390.804
44,1/4/2020 20:00,7307,10676.368
45,1/4/2020 22:00,7362.87,10676.368
46,1/5/2020 0:00,7350.54,34114.304
47,1/5/2020 2:00,7488,34114.304
48,1/5/2020 4:00,7495,13723.308
49,1/5/2020 6:00,7440,13723.308
50,1/5/2020 8:00,7470,16970.665
51,1/5/2020 10:00,7385.76,16970.665
52,1/5/2020 12:00,7414.13,15883.343
53,1/5/2020 14:00,7474.21,15883.343
54,1/5/2020 16:00,7478,14244.511
55,1/5/2020 18:00,7420,14244.511
56,1/5/2020 20:00,7441.9,22052.951
57,1/5/2020 22:00,7303,22052.951
58,1/6/2020 0:00,7345,42067.554
59,1/6/2020 2:00,7580.08,42067.554
60,1/6/2020 4:00,7550.45,14739.8
61,1/6/2020 6:00,7491.59,14739.8
62,1/6/2020 8:00,7505.35,20788.556
63,1/6/2020 10:00,7576,20788.556
64,1/6/2020 12:00,7611.81,27504.967
65,1/6/2020 14:00,7481.74,27504.967
66,1/6/2020 16:00,7507,13366.824
67,1/6/2020 18:00,7558.75,13366.824
68,1/6/2020 20:00,7533,49035.236
69,1/6/2020 22:00,7808.65,49035.236
70,1/7/2020 0:00,7757,61273.74
71,1/7/2020 2:00,8014.91,61273.74
72,1/7/2020 4:00,7908.95,21291.613
73,1/7/2020 6:00,7826.18,21291.613
74,1/7/2020 8:00,7860,23244.674
75,1/7/2020 10:00,7969,23244.674
76,1/7/2020 12:00,7918.19,40133.365
77,1/7/2020 14:00,7746,40133.365
78,1/7/2020 16:00,7733,72227.709
79,1/7/2020 18:00,8133,72227.709
80,1/7/2020 20:00,7952,60632.435
81,1/7/2020 22:00,8215.33,60632.435
82,1/8/2020 0:00,8144.02,88631.802
83,1/8/2020 2:00,8468.42,88631.802
84,1/8/2020 4:00,8381.87,24438.152
85,1/8/2020 6:00,8280,24438.152
86,1/8/2020 8:00,8267,23930.923
87,1/8/2020 10:00,8379.51,23930.923
88,1/8/2020 12:00,8427.97,63915.302
89,1/8/2020 14:00,8201.1,63915.302
90,1/8/2020 16:00,8340.86,74538.622
91,1/8/2020 18:00,7964.41,74538.622
92,1/8/2020 20:00,7870.11,44329.755
93,1/8/2020 22:00,8129,44329.755
94,1/9/2020 0:00,8060,26494.465
95,1/9/2020 2:00,7932,26494.465
96,1/9/2020 4:00,7980.73,21969.395
97,1/9/2020 6:00,7898,21969.395
98,1/9/2020 8:00,7960,30375.417
99,1/9/2020 10:00,7851.91,30375.417
