,date,cash_data,vol
2021-11-01 09:00:00,2021-11-01 09:00:00,1.15465,4365.0
2021-11-01 09:30:00,2021-11-01 09:30:00,1.15639,4365.0
2021-11-01 10:00:00,2021-11-01 10:00:00,1.1559,4904.0
2021-11-01 10:30:00,2021-11-01 10:30:00,1.15748,4904.0
2021-11-01 11:00:00,2021-11-01 11:00:00,1.15734,3615.0
2021-11-01 11:30:00,2021-11-01 11:30:00,1.1561,3615.0
2021-11-01 12:00:00,2021-11-01 12:00:00,1.15638,3237.0
2021-11-01 12:30:00,2021-11-01 12:30:00,1.15723,3237.0
2021-11-01 13:00:00,2021-11-01 13:00:00,1.15659,3457.0
2021-11-01 13:30:00,2021-11-01 13:30:00,1.15765,3457.0
2021-11-01 14:00:00,2021-11-01 14:00:00,1.157,4856.0
2021-11-01 14:30:00,2021-11-01 14:30:00,1.15792,4856.0
2021-11-01 15:00:00,2021-11-01 15:00:00,1.15798,5041.0
2021-11-01 15:30:00,2021-11-01 15:30:00,1.15684,5041.0
2021-11-01 16:00:00,2021-11-01 16:00:00,1.15647,5508.0
2021-11-01 16:30:00,2021-11-01 16:30:00,1.15834,5508.0
2021-11-01 17:00:00,2021-11-01 17:00:00,1.15793,4417.0
2021-11-01 17:30:00,2021-11-01 17:30:00,1.15935,4417.0
2021-11-01 18:00:00,2021-11-01 18:00:00,1.15854,2688.0
2021-11-01 18:30:00,2021-11-01 18:30:00,1.15916,2688.0
2021-11-01 19:00:00,2021-11-01 19:00:00,1.15942,1916.0
2021-11-01 19:30:00,2021-11-01 19:30:00,1.15878,1916.0
2021-11-01 20:00:00,2021-11-01 20:00:00,1.15936,2298.0
2021-11-01 20:30:00,2021-11-01 20:30:00,1.16079,2298.0
2021-11-01 21:00:00,2021-11-01 21:00:00,1.16008,1838.0
2021-11-01 21:30:00,2021-11-01 21:30:00,1.16062,1838.0
2021-11-01 22:00:00,2021-11-01 22:00:00,1.16085,876.0
2021-11-01 22:30:00,2021-11-01 22:30:00,1.1603,876.0
2021-11-01 23:00:00,2021-11-01 23:00:00,1.16051,894.0
2021-11-01 23:30:00,2021-11-01 23:30:00,1.16001,894.0
2021-11-02 00:00:00,2021-11-02 00:00:00,1.16049,261.0
2021-11-02 00:30:00,2021-11-02 00:30:00,1.16003,261.0
2021-11-02 01:00:00,2021-11-02 01:00:00,1.1602,394.0
2021-11-02 01:30:00,2021-11-02 01:30:00,1.15971,394.0
2021-11-02 02:00:00,2021-11-02 02:00:00,1.16007,1345.0
2021-11-02 02:30:00,2021-11-02 02:30:00,1.15946,1345.0
2021-11-02 03:00:00,2021-11-02 03:00:00,1.15976,1290.0
2021-11-02 03:30:00,2021-11-02 03:30:00,1.15942,1290.0
2021-11-02 04:00:00,2021-11-02 04:00:00,1.15952,928.0
2021-11-02 04:30:00,2021-11-02 04:30:00,1.15994,928.0
2021-11-02 05:00:00,2021-11-02 05:00:00,1.15958,2099.0
2021-11-02 05:30:00,2021-11-02 05:30:00,1.1601,2099.0
2021-11-02 06:00:00,2021-11-02 06:00:00,1.15979,1645.0
2021-11-02 06:30:00,2021-11-02 06:30:00,1.16077,1645.0
2021-11-02 07:00:00,2021-11-02 07:00:00,1.16012,1834.0
2021-11-02 07:30:00,2021-11-02 07:30:00,1.16068,1834.0
2021-11-02 08:00:00,2021-11-02 08:00:00,1.16067,2279.0
2021-11-02 08:30:00,2021-11-02 08:30:00,1.15995,2279.0
2021-11-02 09:00:00,2021-11-02 09:00:00,1.16028,3161.0
2021-11-02 09:30:00,2021-11-02 09:30:00,1.16126,3161.0
2021-11-02 10:00:00,2021-11-02 10:00:00,1.16102,4455.0
2021-11-02 10:30:00,2021-11-02 10:30:00,1.15868,4455.0
