,date,cash_data,vol
2021-10-01 01:00:00,2021-10-01 01:00:00,4316.82,1267.0
2021-10-01 01:30:00,2021-10-01 01:30:00,4309.55,1267.0
2021-10-01 02:00:00,2021-10-01 02:00:00,4313.72,1748.0
2021-10-01 02:30:00,2021-10-01 02:30:00,4320.12,1748.0
2021-10-01 03:00:00,2021-10-01 03:00:00,4322.35,3491.0
2021-10-01 03:30:00,2021-10-01 03:30:00,4309.62,3491.0
2021-10-01 04:00:00,2021-10-01 04:00:00,4311.62,6260.0
2021-10-01 04:30:00,2021-10-01 04:30:00,4280.62,6260.0
2021-10-01 05:00:00,2021-10-01 05:00:00,4288.35,3749.0
2021-10-01 05:30:00,2021-10-01 05:30:00,4281.72,3749.0
2021-10-01 06:00:00,2021-10-01 06:00:00,4290.75,2363.0
2021-10-01 06:30:00,2021-10-01 06:30:00,4282.75,2363.0
2021-10-01 07:00:00,2021-10-01 07:00:00,4281.75,2035.0
2021-10-01 07:30:00,2021-10-01 07:30:00,4287.35,2035.0
2021-10-01 08:00:00,2021-10-01 08:00:00,4282.42,3249.0
2021-10-01 08:30:00,2021-10-01 08:30:00,4292.32,3249.0
2021-10-01 09:00:00,2021-10-01 09:00:00,4296.42,4866.0
2021-10-01 09:30:00,2021-10-01 09:30:00,4271.92,4866.0
2021-10-01 10:00:00,2021-10-01 10:00:00,4271.85,8639.0
2021-10-01 10:30:00,2021-10-01 10:30:00,4294.25,8639.0
2021-10-01 11:00:00,2021-10-01 11:00:00,4290.75,6524.0
2021-10-01 11:30:00,2021-10-01 11:30:00,4277.45,6524.0
2021-10-01 12:00:00,2021-10-01 12:00:00,4283.25,4506.0
2021-10-01 12:30:00,2021-10-01 12:30:00,4290.35,4506.0
2021-10-01 13:00:00,2021-10-01 13:00:00,4285.95,3087.0
2021-10-01 13:30:00,2021-10-01 13:30:00,4295.35,3087.0
2021-10-01 14:00:00,2021-10-01 14:00:00,4294.55,4548.0
2021-10-01 14:30:00,2021-10-01 14:30:00,4329.25,4548.0
2021-10-01 15:00:00,2021-10-01 15:00:00,4331.55,4555.0
2021-10-01 15:30:00,2021-10-01 15:30:00,4316.25,4555.0
2021-10-01 16:00:00,2021-10-01 16:00:00,4332.65,8251.0
2021-10-01 16:30:00,2021-10-01 16:30:00,4304.65,8251.0
2021-10-01 17:00:00,2021-10-01 17:00:00,4319.55,10653.0
2021-10-01 17:30:00,2021-10-01 17:30:00,4288.15,10653.0
2021-10-01 18:00:00,2021-10-01 18:00:00,4299.52,8244.0
2021-10-01 18:30:00,2021-10-01 18:30:00,4337.72,8244.0
