,CashData
2021-09-27 08:00:00,1758.1
2021-09-27 08:30:00,1760.23
2021-09-27 09:00:00,1759.27
2021-09-27 09:30:00,1755.28
2021-09-27 10:00:00,1760.69
2021-09-27 10:30:00,1753.87
2021-09-27 11:00:00,1755.05
2021-09-27 11:30:00,1749.99
2021-09-27 12:00:00,1752.74
2021-09-27 12:30:00,1747.77
2021-09-27 13:00:00,1744.75
2021-09-27 13:30:00,1749.66
2021-09-27 14:00:00,1747.47
2021-09-27 14:30:00,1750.15
2021-09-27 15:00:00,1748.09
2021-09-27 15:30:00,1754.92
2021-09-27 16:00:00,1749.88
2021-09-27 16:30:00,1757.81
2021-09-27 17:00:00,1756.72
2021-09-27 17:30:00,1748.67
2021-09-27 18:00:00,1748.61
2021-09-27 18:30:00,1753.14
2021-09-27 19:00:00,1751.02
2021-09-27 19:30:00,1753.95
2021-09-27 20:00:00,1751.4
2021-09-27 20:30:00,1752.64
2021-09-27 21:00:00,1752.11
2021-09-27 21:30:00,1750.18
2021-09-27 22:00:00,1750.95
2021-09-27 22:30:00,1749.76
2021-09-27 23:00:00,1749.78
2021-09-27 23:30:00,1750.7
2021-09-28 01:00:00,1749.99
2021-09-28 01:30:00,1751.5
2021-09-28 02:00:00,1750.18
2021-09-28 02:30:00,1751.59
2021-09-28 03:00:00,1751.28
2021-09-28 03:30:00,1749.26
2021-09-28 04:00:00,1747.12
2021-09-28 04:30:00,1753.13
2021-09-28 05:00:00,1754.38
2021-09-28 05:30:00,1751.83
2021-09-28 06:00:00,1753.21
2021-09-28 06:30:00,1749.5
2021-09-28 07:00:00,1749.29
2021-09-28 07:30:00,1751.34
2021-09-28 08:00:00,1751.78
2021-09-28 08:30:00,1747.4
2021-09-28 09:00:00,1748.67
2021-09-28 09:30:00,1740.37
2021-09-28 10:00:00,1735.65
2021-09-28 10:30:00,1744.44
2021-09-28 11:00:00,1744.47
2021-09-28 11:30:00,1740.23
2021-09-28 12:00:00,1743.78
2021-09-28 12:30:00,1737.48
2021-09-28 13:00:00,1740.48
2021-09-28 13:30:00,1732.23
2021-09-28 14:00:00,1731.72
2021-09-28 14:30:00,1736.55
2021-09-28 15:00:00,1738.13
2021-09-28 15:30:00,1728.02
2021-09-28 16:00:00,1728.88
2021-09-28 16:30:00,1741.13
2021-09-28 17:00:00,1731.27
2021-09-28 17:30:00,1740.55
2021-09-28 18:00:00,1732.82
2021-09-28 18:30:00,1740.08
2021-09-28 19:00:00,1735.91
2021-09-28 19:30:00,1738.99
2021-09-28 20:00:00,1738.16
2021-09-28 20:30:00,1734.83
2021-09-28 21:00:00,1733.77
2021-09-28 21:30:00,1735.09
2021-09-28 22:00:00,1734.48
2021-09-28 22:30:00,1732.69
2021-09-28 23:00:00,1732.68
2021-09-28 23:30:00,1734.12
2021-09-29 01:00:00,1733.76
2021-09-29 01:30:00,1734.71
2021-09-29 02:00:00,1733.73
2021-09-29 02:30:00,1735.28
2021-09-29 03:00:00,1733.18
2021-09-29 03:30:00,1735.73
2021-09-29 04:00:00,1733.78
2021-09-29 04:30:00,1737.55
2021-09-29 05:00:00,1736.14
2021-09-29 05:30:00,1741.31
2021-09-29 06:00:00,1738.98
2021-09-29 06:30:00,1740.87
2021-09-29 07:00:00,1740.52
2021-09-29 07:30:00,1737.59
2021-09-29 08:00:00,1736.97
2021-09-29 08:30:00,1740.4
2021-09-29 09:00:00,1736.9
2021-09-29 09:30:00,1740.67
2021-09-29 10:00:00,1742.11
2021-09-29 10:30:00,1736.55
2021-09-29 11:00:00,1738.21
2021-09-29 11:30:00,1743.32
2021-09-29 12:00:00,1743.19
2021-09-29 12:30:00,1740.84
2021-09-29 13:00:00,1742.08
2021-09-29 13:30:00,1745.46
2021-09-29 14:00:00,1745.28
2021-09-29 14:30:00,1740.8
2021-09-29 15:00:00,1743.51
2021-09-29 15:30:00,1736.86
2021-09-29 16:00:00,1735.58
2021-09-29 16:30:00,1740.35
2021-09-29 17:00:00,1737.72
2021-09-29 17:30:00,1725.38
2021-09-29 18:00:00,1728.25
2021-09-29 18:30:00,1733.82
2021-09-29 19:00:00,1730.69
2021-09-29 19:30:00,1724.44
2021-09-29 20:00:00,1725.65
2021-09-29 20:30:00,1721.55
2021-09-29 21:00:00,1722.49
2021-09-29 21:30:00,1725.91
2021-09-29 22:00:00,1725.8
2021-09-29 22:30:00,1723.47
2021-09-29 23:00:00,1724.99
2021-09-29 23:30:00,1726.6
2021-09-30 01:00:00,1725.48
2021-09-30 01:30:00,1727.8
2021-09-30 02:00:00,1727.02
2021-09-30 02:30:00,1729.21
2021-09-30 03:00:00,1728.72
