,date,cash_data,vol,dif,ret1,ret2,ret3
9/13/2021 22:00,9/13/2021 22:00,34714.5,7591,0,0,0,0
9/13/2021 22:30,9/13/2021 22:30,34893,7591,178.5,0,0,0
9/13/2021 23:00,9/13/2021 23:00,34880.5,607,-12.5,0.069861253,0,0
9/13/2021 23:30,9/13/2021 23:30,34943.5,607,63,5.036356148,0.351846153,0.281984899
9/14/2021 1:00,9/14/2021 1:00,34909.7,526,-33.8,0.536283562,2.700915015,-2.335441133
9/14/2021 1:30,9/14/2021 1:30,34957.5,526,47.8,1.413917916,0.758260936,0.221977374
9/14/2021 2:00,9/14/2021 2:00,34953.7,710,-3.8,0.079447862,0.112332756,-1.30158516
9/14/2021 2:30,9/14/2021 2:30,34921.7,710,-32,-8.425367659,-0.669377447,-0.74882531
9/14/2021 3:00,9/14/2021 3:00,34905.5,1584,-16.2,-0.506599426,4.268286417,12.69365408
9/14/2021 3:30,9/14/2021 3:30,34944.5,1584,39,2.406621803,-1.219193223,-0.712593798
9/14/2021 4:00,9/14/2021 4:00,34937.5,1800,-7,0.179404972,0.431759916,-1.974861887
9/14/2021 4:30,9/14/2021 4:30,34977.5,1800,40,5.711589166,1.024687492,0.845282521
9/14/2021 5:00,9/14/2021 5:00,34977.5,1970,0,0,0,-5.711589166
9/14/2021 5:30,9/14/2021 5:30,34926.5,1970,-51,#DIV/0!,-1.275200719,-1.275200719
9/14/2021 6:00,9/14/2021 6:00,34926,1127,-0.5,-0.009811148,#DIV/0!,#DIV/0!
9/14/2021 6:30,9/14/2021 6:30,34960.5,1127,34.5,68.96643689,-0.676639915,-0.666828768
9/14/2021 7:00,9/14/2021 7:00,34940.5,696,-20,0.579589861,39.97224755,-28.99418933
9/14/2021 7:30,9/14/2021 7:30,34959.5,696,19,0.950013588,0.550618243,-0.028971617
9/14/2021 8:00,9/14/2021 8:00,34940.5,1357,-19,1,0.950013588,0
9/14/2021 8:30,9/14/2021 8:30,34971,1357,30.5,1.604999165,1.604999165,0.604999165
9/14/2021 9:00,9/14/2021 9:00,34951.5,2172,-19.5,0.639243659,1.025985538,-0.579013627
9/14/2021 9:30,9/14/2021 9:30,34876.5,2172,-75,-3.851360325,-2.461957664,-3.101201323
