time,total load actual,price actual,last year load,last year price,last solar,last wind
2015-01-01 00:00:00+01:00,25385,65.41,0,0,0,0
2015-01-01 01:00:00+01:00,24382,64.92,0,0,0,0
2015-01-01 02:00:00+01:00,22734,64.48,0,0,0,0
2015-01-01 03:00:00+01:00,21286,59.32,0,0,0,0
2015-01-01 04:00:00+01:00,20264,56.04,0,0,0,0
2015-01-01 05:00:00+01:00,19905,53.63,0,0,0,0
2015-01-01 06:00:00+01:00,20010,51.73,0,0,0,0
2015-01-01 07:00:00+01:00,20377,51.43,0,0,0,0
2015-01-01 08:00:00+01:00,20094,48.98,0,0,0,0
2015-01-01 09:00:00+01:00,20637,54.2,0,0,0,0
2015-01-01 10:00:00+01:00,22250,58.94,0,0,0,0
2015-01-01 11:00:00+01:00,23547,59.86,0,0,0,0
2015-01-01 12:00:00+01:00,24133,60.12,0,0,0,0
2015-01-01 13:00:00+01:00,24713,62.05,0,0,0,0
2015-01-01 14:00:00+01:00,24672,62.06,0,0,0,0
2015-01-01 15:00:00+01:00,23528,59.76,0,0,0,0
2015-01-01 16:00:00+01:00,23118,61.18,0,0,0,0
2015-01-01 17:00:00+01:00,23606,64.74,0,0,0,0
2015-01-01 18:00:00+01:00,26447,74.26,0,0,0,0
2015-01-01 19:00:00+01:00,28020,74.24,0,0,0,0
2015-01-01 20:00:00+01:00,29014,75.64,0,0,0,0
2015-01-01 21:00:00+01:00,29571,73.92,0,0,0,0
2015-01-01 22:00:00+01:00,29031,70.53,0,0,0,0
2015-01-01 23:00:00+01:00,26798,64.13,0,0,0,0
2015-01-02 00:00:00+01:00,27070,64.02,0,0,0,0
2015-01-02 01:00:00+01:00,24935,58.46,0,0,0,0
2015-01-02 02:00:00+01:00,23214,54.7,0,0,0,0
2015-01-02 03:00:00+01:00,22540,54.91,0,0,0,0
2015-01-02 04:00:00+01:00,22096,53.07,0,0,0,0
2015-01-02 05:00:00+01:00,22066,54.23,0,0,0,0
2015-01-02 06:00:00+01:00,22275,58.22,0,0,0,0
